SKU,committed,totalLocationsQuantity
CR-V52-High-Vis-Yellow-3XL,0,200
CR-V52-High-Vis-Yellow-7XL,0,100
CR-VDN-STAFF-HIGH-VIS-YELLOW-2XL,0,0
CR-CAP-CO-White-Free Size,1,209
LW-W05-Pink-L,0,0
CR-V38-High-Vis-Orange-L,0,169
CR-S21-High-Vis-Yellow-/-Navy-L,0,436
CR-F41-High-Vis-Yellow-/-Navy-L,0,10
SY-ZT460-High-Vis-Yellow-Navy-XL,0,2
CR-P31-High-Vis-Orange-/-Navy-XL,0,349
CR-VDN-STAFF-HIGH-VIS-ORANGE-M,0,0
CR-V22-Purple-2XL,0,25
CR-V52-High-Vis-Orange-L,6,669
CR-V22-Royal-3XL,0,47
CR-V34-High-Vis-Orange-/-Navy-2XL,0,143
WSK131-Cobalt-Blue-4,0,0
CR-V22P-High-Vis-Orange-5XL,0,47
CR-F22-High-Vis-Yellow-/-Navy-XS,0,20
CR-V35-High-Vis-Orange-2XL,0,50
CR-P26-High-Vis-Orange-Navy-XL,8,675
CR-V22P-High-Vis-Yellow-5XL,0,49
CR-V22-Purple-5XL,0,42
CR-V34-High-Vis-Orange-/-Navy-XL,0,183
CR-V16-High-Vis-Orange-12-14,8,87
